contact_id,student_id,student_name,school_id,class_id,guardian_name,relationship,phone_number_raw,phone_number_e164,primary_contact
GC#SCH01-S035#0113 772 522,SCH01-S035,Charles Wambui,SCH01,SCH01-FORM2NORTH,Winnie Wambui,Grandfather,0113 772 522,+254113772522,Yes
GC#SCH01-S036#0110 080 100,SCH01-S036,Ruth Mutua,SCH01,SCH01-FORM2NORTH,Daniel Mutua,Aunt,0110 080 100,+254110080100,Yes
GC#SCH02-S001#0702 658 053,SCH02-S001,Joy Kavata,SCH02,SCH02-FORM3EAST,Isaac Kavata,Guardian,0702 658 053,+254702658053,Yes
GC#SCH02-S002#0757 590 903,SCH02-S002,Winnie Mwangi,SCH02,SCH02-FORM3EAST,Wycliffe Mwangi,Aunt,0757 590 903,+254757590903,Yes
GC#SCH02-S003#0720 956 417,SCH02-S003,Millicent Cheruiyot,SCH02,SCH02-FORM3EAST,Eunice Cheruiyot,Uncle,0720 956 417,+254720956417,Yes
GC#SCH02-S004#0733 388 826,SCH02-S004,Linet Kosgei,SCH02,SCH02-FORM3EAST,Quinter Kosgei,Grandfather,0733 388 826,+254733388826,Yes
GC#SCH02-S005#0791 646 649,SCH02-S005,Sharon Kavata,SCH02,SCH02-FORM3EAST,Esther Kavata,Uncle,0791 646 649,+254791646649,Yes
GC#SCH02-S006#0720 485 828,SCH02-S006,Eunice Kilonzo,SCH02,SCH02-FORM3EAST,Collins Kilonzo,Uncle,0720 485 828,+254720485828,Yes
GC#SCH02-S007#0791 626 916,SCH02-S007,Onalisa Kamau,SCH02,SCH02-FORM3EAST,Purity Kamau,Father,0791 626 916,+254791626916,Yes
GC#SCH02-S008#0113 037 268,SCH02-S008,Khadija Mbugua,SCH02,SCH02-FORM3EAST,Hellen Mbugua,Grandfather,0113 037 268,+254113037268,Yes
GC#SCH02-S009#0768 575 641,SCH02-S009,Rehema Nafula,SCH02,SCH02-FORM3EAST,Esther Nafula,Uncle,0768 575 641,+254768575641,Yes
GC#SCH02-S009#0702 824 086,SCH02-S009,Rehema Nafula,SCH02,SCH02-FORM3EAST,Samuel Nafula,Mother,0702 824 086,+254702824086,No
GC#SCH02-S010#0701 207 781,SCH02-S010,Florence Omondi,SCH02,SCH02-FORM3EAST,Brian Omondi,Aunt,0701 207 781,+254701207781,Yes
GC#SCH02-S011#0720 439 721,SCH02-S011,Josephine Wafula,SCH02,SCH02-FORM3EAST,Enock Wafula,Uncle,0720 439 721,+254720439721,Yes
GC#SCH02-S012#0722 946 780,SCH02-S012,Faith Achieng,SCH02,SCH02-FORM3EAST,Violet Achieng,Guardian,0722 946 780,+254722946780,Yes
GC#SCH02-S013#0741 762 284,SCH02-S013,Linet Cheruiyot,SCH02,SCH02-FORM3EAST,Elvis Cheruiyot,Uncle,0741 762 284,+254741762284,Yes
GC#SCH02-S014#0750 646 857,SCH02-S014,Nancy Kariuki,SCH02,SCH02-FORM3EAST,Erick Kariuki,Father,0750 646 857,+254750646857,Yes
GC#SCH02-S015#0790 339 700,SCH02-S015,Josephine Omondi,SCH02,SCH02-FORM3EAST,Kelvin Omondi,Grandfather,0790 339 700,+254790339700,Yes
GC#SCH02-S016#0722 548 954,SCH02-S016,Khadija Nafula,SCH02,SCH02-FORM3EAST,Brian Nafula,Guardian,0722 548 954,+254722548954,Yes
GC#SCH02-S016#0750 120 157,SCH02-S016,Khadija Nafula,SCH02,SCH02-FORM3EAST,Faith Nafula,Guardian,0750 120 157,+254750120157,No
GC#SCH02-S017#0113 789 053,SCH02-S017,Joy Gathoni,SCH02,SCH02-FORM3EAST,Irene Gathoni,Grandmother,0113 789 053,+254113789053,Yes
GC#SCH02-S018#0722 212 370,SCH02-S018,Rehema Muthoni,SCH02,SCH02-FORM3EAST,Collins Muthoni,Uncle,0722 212 370,+254722212370,Yes
GC#SCH02-S019#0768 692 858,SCH02-S019,Halima Mutua,SCH02,SCH02-FORM3EAST,Doreen Mutua,Grandmother,0768 692 858,+254768692858,Yes
GC#SCH02-S019#0768 291 664,SCH02-S019,Halima Mutua,SCH02,SCH02-FORM3EAST,Teresa Mutua,Grandfather,0768 291 664,+254768291664,No
GC#SCH02-S020#0740 544 174,SCH02-S020,Purity Kavata,SCH02,SCH02-FORM3EAST,Brenda Kavata,Guardian,0740 544 174,+254740544174,Yes
GC#SCH02-S021#0710 743 661,SCH02-S021,Faith Njeri,SCH02,SCH02-FORM3EAST,Francis Njeri,Grandmother,0710 743 661,+254710743661,Yes
GC#SCH02-S021#0110 242 955,SCH02-S021,Faith Njeri,SCH02,SCH02-FORM3EAST,Emmanuel Njeri,Mother,0110 242 955,+254110242955,No
GC#SCH02-S022#0791 469 968,SCH02-S022,Beatrice Kiprono,SCH02,SCH02-FORM3EAST,Winnie Kiprono,Guardian,0791 469 968,+254791469968,Yes
GC#SCH02-S023#0702 040 481,SCH02-S023,Josephine Odhiambo,SCH02,SCH02-FORM3EAST,Irene Odhiambo,Aunt,0702 040 481,+254702040481,Yes
GC#SCH02-S024#0733 313 142,SCH02-S024,Peris Odhiambo,SCH02,SCH02-FORM3EAST,George Odhiambo,Aunt,0733 313 142,+254733313142,Yes
GC#SCH02-S025#0112 407 209,SCH02-S025,Cynthia Wafula,SCH02,SCH02-FORM3EAST,Lewis Wafula,Guardian,0112 407 209,+254112407209,Yes
GC#SCH02-S026#0701 271 347,SCH02-S026,Kendi Akinyi,SCH02,SCH02-FORM3EAST,Dennis Akinyi,Father,0701 271 347,+254701271347,Yes
GC#SCH02-S027#0791 942 179,SCH02-S027,Naomi Mutua,SCH02,SCH02-FORM3EAST,Olive Mutua,Grandmother,0791 942 179,+254791942179,Yes
GC#SCH02-S028#0710 204 531,SCH02-S028,Onalisa Chebet,SCH02,SCH02-FORM3EAST,Michael Chebet,Grandmother,0710 204 531,+254710204531,Yes
GC#SCH02-S029#0757 574 051,SCH02-S029,Sharon Odhiambo,SCH02,SCH02-FORM3EAST,Enock Odhiambo,Grandmother,0757 574 051,+254757574051,Yes
GC#SCH02-S030#0710 284 205,SCH02-S030,Irene Atieno,SCH02,SCH02-FORM3EAST,Kibet Atieno,Guardian,0710 284 205,+254710284205,Yes
GC#SCH02-S031#0741 511 591,SCH02-S031,Rehema Kariuki,SCH02,SCH02-FORM3EAST,Emmanuel Kariuki,Guardian,0741 511 591,+254741511591,Yes
GC#SCH02-S032#0757 279 183,SCH02-S032,Ruth Onyango,SCH02,SCH02-FORM3EAST,Esther Onyango,Uncle,0757 279 183,+254757279183,Yes
GC#SCH02-S033#0722 256 295,SCH02-S033,Halima Mbugua,SCH02,SCH02-FORM3EAST,Eunice Mbugua,Grandmother,0722 256 295,+254722256295,Yes
GC#SCH02-S034#0113 909 024,SCH02-S034,Florence Rotich,SCH02,SCH02-FORM3EAST,Quinter Rotich,Guardian,0113 909 024,+254113909024,Yes
GC#SCH03-S001#0722 451 795,SCH03-S001,Faith Kamau,SCH03,SCH03-FORM1WEST,Linet Kamau,Father,0722 451 795,+254722451795,Yes
GC#SCH03-S002#0741 485 712,SCH03-S002,Ivy Cheruiyot,SCH03,SCH03-FORM1WEST,Francis Cheruiyot,Mother,0741 485 712,+254741485712,Yes
GC#SCH03-S002#0757 400 604,SCH03-S002,Ivy Cheruiyot,SCH03,SCH03-FORM1WEST,Gilbert Cheruiyot,Aunt,0757 400 604,+254757400604,No
GC#SCH03-S003#0741 782 680,SCH03-S003,Naomi Wanjiru,SCH03,SCH03-FORM1WEST,Purity Wanjiru,Guardian,0741 782 680,+254741782680,Yes
GC#SCH03-S004#0721 219 046,SCH03-S004,Peris Kimani,SCH03,SCH03-FORM1WEST,Francis Kimani,Father,0721 219 046,+254721219046,Yes
GC#SCH03-S005#0113 667 393,SCH03-S005,Rehema Chebet,SCH03,SCH03-FORM1WEST,Alex Chebet,Grandmother,0113 667 393,+254113667393,Yes
GC#SCH03-S006#0720 454 405,SCH03-S006,Brenda Chebet,SCH03,SCH03-FORM1WEST,Kibet Chebet,Grandfather,0720 454 405,+254720454405,Yes
GC#SCH03-S007#0722 686 454,SCH03-S007,Winnie Kiptoo,SCH03,SCH03-FORM1WEST,Hellen Kiptoo,Mother,0722 686 454,+254722686454,Yes
GC#SCH03-S008#0112 681 708,SCH03-S008,Irene Adhiambo,SCH03,SCH03-FORM1WEST,Gilbert Adhiambo,Grandmother,0112 681 708,+254112681708,Yes
GC#SCH03-S009#0700 366 758,SCH03-S009,Grace Atieno,SCH03,SCH03-FORM1WEST,Lewis Atieno,Uncle,0700 366 758,+254700366758,Yes
GC#SCH03-S010#0710 521 811,SCH03-S010,Winnie Kilonzo,SCH03,SCH03-FORM1WEST,Ann Kilonzo,Aunt,0710 521 811,+254710521811,Yes
GC#SCH03-S010#0711 250 408,SCH03-S010,Winnie Kilonzo,SCH03,SCH03-FORM1WEST,Fred Kilonzo,Grandmother,0711 250 408,+254711250408,No
GC#SCH03-S011#0711 394 902,SCH03-S011,Quinter Mumbi,SCH03,SCH03-FORM1WEST,Ruth Mumbi,Uncle,0711 394 902,+254711394902,Yes
GC#SCH03-S012#0701 931 939,SCH03-S012,Beatrice Kariuki,SCH03,SCH03-FORM1WEST,Kibet Kariuki,Mother,0701 931 939,+254701931939,Yes
GC#SCH03-S013#0111 381 280,SCH03-S013,Mercy Gathoni,SCH03,SCH03-FORM1WEST,Wycliffe Gathoni,Uncle,0111 381 280,+254111381280,Yes
GC#SCH03-S014#0768 438 447,SCH03-S014,Grace Wairimu,SCH03,SCH03-FORM1WEST,Mercy Wairimu,Father,0768 438 447,+254768438447,Yes
GC#SCH03-S015#0768 844 819,SCH03-S015,Esther Jepkosgei,SCH03,SCH03-FORM1WEST,Dennis Jepkosgei,Grandfather,0768 844 819,+254768844819,Yes
GC#SCH03-S015#0733 185 284,SCH03-S015,Esther Jepkosgei,SCH03,SCH03-FORM1WEST,Dickson Jepkosgei,Father,0733 185 284,+254733185284,No
GC#SCH03-S016#0111 559 624,SCH03-S016,Peris Jepkosgei,SCH03,SCH03-FORM1WEST,Elvis Jepkosgei,Grandfather,0111 559 624,+254111559624,Yes
GC#SCH03-S017#0702 604 845,SCH03-S017,Quinter Kavata,SCH03,SCH03-FORM1WEST,Oscar Kavata,Aunt,0702 604 845,+254702604845,Yes
GC#SCH03-S018#0768 209 692,SCH03-S018,Linet Adhiambo,SCH03,SCH03-FORM1WEST,Enock Adhiambo,Grandmother,0768 209 692,+254768209692,Yes
GC#SCH03-S019#0768 384 964,SCH03-S019,Brenda Kosgei,SCH03,SCH03-FORM1WEST,Diana Kosgei,Aunt,0768 384 964,+254768384964,Yes
GC#SCH03-S020#0790 143 300,SCH03-S020,Peris Wafula,SCH03,SCH03-FORM1WEST,Alex Wafula,Grandfather,0790 143 300,+254790143300,Yes
GC#SCH03-S021#0740 608 940,SCH03-S021,Halima Rotich,SCH03,SCH03-FORM1WEST,Diana Rotich,Father,0740 608 940,+254740608940,Yes
GC#SCH03-S022#0721 775 633,SCH03-S022,Agnes Mutua,SCH03,SCH03-FORM1WEST,Emmanuel Mutua,Aunt,0721 775 633,+254721775633,Yes
GC#SCH03-S023#0710 651 034,SCH03-S023,Halima Barasa,SCH03,SCH03-FORM1WEST,Doreen Barasa,Grandfather,0710 651 034,+254710651034,Yes
GC#SCH03-S024#0701 731 689,SCH03-S024,Eunice Njeri,SCH03,SCH03-FORM1WEST,Dennis Njeri,Grandfather,0701 731 689,+254701731689,Yes
GC#SCH03-S025#0791 849 522,SCH03-S025,Ursula Achieng,SCH03,SCH03-FORM1WEST,Elvis Achieng,Mother,0791 849 522,+254791849522,Yes
GC#SCH03-S025#0111 516 266,SCH03-S025,Ursula Achieng,SCH03,SCH03-FORM1WEST,Felix Achieng,Aunt,0111 516 266,+254111516266,No
GC#SCH03-S026#0757 267 717,SCH03-S026,Olive Nyambura,SCH03,SCH03-FORM1WEST,Boniface Nyambura,Father,0757 267 717,+254757267717,Yes
GC#SCH03-S027#0791 768 822,SCH03-S027,Catherine Wafula,SCH03,SCH03-FORM1WEST,Oscar Wafula,Grandmother,0791 768 822,+254791768822,Yes
GC#SCH03-S028#0701 769 402,SCH03-S028,Faith Njoroge,SCH03,SCH03-FORM1WEST,Robert Njoroge,Aunt,0701 769 402,+254701769402,Yes
GC#SCH03-S029#0112 612 922,SCH03-S029,Esther Wekesa,SCH03,SCH03-FORM1WEST,Ursula Wekesa,Uncle,0112 612 922,+254112612922,Yes
GC#SCH03-S030#0768 451 465,SCH03-S030,Naomi Kimani,SCH03,SCH03-FORM1WEST,Diana Kimani,Uncle,0768 451 465,+254768451465,Yes
GC#SCH03-S031#0710 396 338,SCH03-S031,Quinter Barasa,SCH03,SCH03-FORM1WEST,Halima Barasa,Father,0710 396 338,+254710396338,Yes
GC#SCH03-S031#0111 036 034,SCH03-S031,Quinter Barasa,SCH03,SCH03-FORM1WEST,Ruth Barasa,Aunt,0111 036 034,+254111036034,No
GC#SCH03-S032#0790 269 956,SCH03-S032,Ivy Rotich,SCH03,SCH03-FORM1WEST,Duncan Rotich,Mother,0790 269 956,+254790269956,Yes
GC#SCH03-S033#0702 127 650,SCH03-S033,Esther Kamau,SCH03,SCH03-FORM1WEST,Agnes Kamau,Guardian,0702 127 650,+254702127650,Yes
GC#SCH03-S034#0111 266 421,SCH03-S034,Linet Muthoni,SCH03,SCH03-FORM1WEST,Peter Muthoni,Father,0111 266 421,+254111266421,Yes
GC#SCH03-S035#0710 433 081,SCH03-S035,Catherine Ochieng,SCH03,SCH03-FORM1WEST,Dickson Ochieng,Grandfather,0710 433 081,+254710433081,Yes
GC#SCH03-S036#0733 164 086,SCH03-S036,Khadija Kamau,SCH03,SCH03-FORM1WEST,Duncan Kamau,Grandfather,0733 164 086,+254733164086,Yes
GC#SCH03-S036#0111 021 252,SCH03-S036,Khadija Kamau,SCH03,SCH03-FORM1WEST,Winnie Kamau,Grandfather,0111 021 252,+254111021252,No
GC#SCH03-S037#0723 448 506,SCH03-S037,Violet Wafula,SCH03,SCH03-FORM1WEST,Harrison Wafula,Father,0723 448 506,+254723448506,Yes
GC#SCH03-S038#0757 630 500,SCH03-S038,Winnie Akinyi,SCH03,SCH03-FORM1WEST,Josephine Akinyi,Grandfather,0757 630 500,+254757630500,Yes
GC#SCH04-S001#0757 842 964,SCH04-S001,Ian Wambui,SCH04,SCH04-FORM4SOUTH,Humphrey Wambui,Grandmother,0757 842 964,+254757842964,Yes
GC#SCH04-S001#0790 403 522,SCH04-S001,Ian Wambui,SCH04,SCH04-FORM4SOUTH,Anthony Wambui,Aunt,0790 403 522,+254790403522,No
GC#SCH04-S002#0110 591 019,SCH04-S002,Humphrey Rotich,SCH04,SCH04-FORM4SOUTH,Erick Rotich,Aunt,0110 591 019,+254110591019,Yes
GC#SCH04-S003#0790 450 382,SCH04-S003,Dickson Achieng,SCH04,SCH04-FORM4SOUTH,Lydia Achieng,Uncle,0790 450 382,+254790450382,Yes
GC#SCH04-S004#0113 775 766,SCH04-S004,Oscar Wairimu,SCH04,SCH04-FORM4SOUTH,Kendi Wairimu,Aunt,0113 775 766,+254113775766,Yes
GC#SCH04-S005#0722 330 982,SCH04-S005,Peter Mumbi,SCH04,SCH04-FORM4SOUTH,Anthony Mumbi,Aunt,0722 330 982,+254722330982,Yes
GC#SCH04-S005#0733 510 865,SCH04-S005,Peter Mumbi,SCH04,SCH04-FORM4SOUTH,Peter Mumbi,Grandmother,0733 510 865,+254733510865,No
GC#SCH04-S006#0722 027 661,SCH04-S006,Oscar Achieng,SCH04,SCH04-FORM4SOUTH,Khadija Achieng,Guardian,0722 027 661,+254722027661,Yes
GC#SCH04-S007#0733 165 786,SCH04-S007,Dennis Barasa,SCH04,SCH04-FORM4SOUTH,Enock Barasa,Father,0733 165 786,+254733165786,Yes
GC#SCH04-S008#0702 169 532,SCH04-S008,Robert Njoroge,SCH04,SCH04-FORM4SOUTH,Peris Njoroge,Guardian,0702 169 532,+254702169532,Yes
GC#SCH04-S009#0757 672 987,SCH04-S009,Victor Kosgei,SCH04,SCH04-FORM4SOUTH,Hillary Kosgei,Aunt,0757 672 987,+254757672987,Yes
GC#SCH04-S010#0112 818 408,SCH04-S010,Ian Nyambura,SCH04,SCH04-FORM4SOUTH,Nicholas Nyambura,Grandfather,0112 818 408,+254112818408,Yes
GC#SCH04-S011#0722 169 112,SCH04-S011,Erick Jepkosgei,SCH04,SCH04-FORM4SOUTH,Oscar Jepkosgei,Grandfather,0722 169 112,+254722169112,Yes
GC#SCH04-S011#0791 795 537,SCH04-S011,Erick Jepkosgei,SCH04,SCH04-FORM4SOUTH,Esther Jepkosgei,Grandmother,0791 795 537,+254791795537,No
GC#SCH04-S012#0740 042 961,SCH04-S012,Harrison Akinyi,SCH04,SCH04-FORM4SOUTH,Halima Akinyi,Guardian,0740 042 961,+254740042961,Yes
GC#SCH04-S013#0757 235 361,SCH04-S013,Joseph Wambui,SCH04,SCH04-FORM4SOUTH,Peris Wambui,Aunt,0757 235 361,+254757235361,Yes
GC#SCH04-S014#0111 729 127,SCH04-S014,Victor Kilonzo,SCH04,SCH04-FORM4SOUTH,Agnes Kilonzo,Uncle,0111 729 127,+254111729127,Yes
GC#SCH04-S015#0723 463 247,SCH04-S015,Joseph Jepkosgei,SCH04,SCH04-FORM4SOUTH,Gilbert Jepkosgei,Uncle,0723 463 247,+254723463247,Yes
GC#SCH04-S016#0700 755 159,SCH04-S016,Wycliffe Kiptoo,SCH04,SCH04-FORM4SOUTH,Daniel Kiptoo,Grandmother,0700 755 159,+254700755159,Yes
GC#SCH04-S017#0721 712 107,SCH04-S017,Kelvin Auma,SCH04,SCH04-FORM4SOUTH,Grace Auma,Grandfather,0721 712 107,+254721712107,Yes
GC#SCH04-S018#0110 410 222,SCH04-S018,Joseph Onyango,SCH04,SCH04-FORM4SOUTH,Onalisa Onyango,Aunt,0110 410 222,+254110410222,Yes
GC#SCH04-S018#0750 895 742,SCH04-S018,Joseph Onyango,SCH04,SCH04-FORM4SOUTH,Irene Onyango,Uncle,0750 895 742,+254750895742,No
GC#SCH04-S019#0790 325 320,SCH04-S019,Enock Wekesa,SCH04,SCH04-FORM4SOUTH,George Wekesa,Grandfather,0790 325 320,+254790325320,Yes
GC#SCH04-S020#0740 131 106,SCH04-S020,Dickson Kiptoo,SCH04,SCH04-FORM4SOUTH,Nancy Kiptoo,Grandmother,0740 131 106,+254740131106,Yes
GC#SCH04-S021#0111 830 494,SCH04-S021,Charles Mumbi,SCH04,SCH04-FORM4SOUTH,Eunice Mumbi,Father,0111 830 494,+254111830494,Yes
GC#SCH04-S021#0702 170 917,SCH04-S021,Charles Mumbi,SCH04,SCH04-FORM4SOUTH,Charles Mumbi,Grandmother,0702 170 917,+254702170917,No
GC#SCH04-S022#0750 300 997,SCH04-S022,Nicholas Barasa,SCH04,SCH04-FORM4SOUTH,Charles Barasa,Aunt,0750 300 997,+254750300997,Yes
GC#SCH04-S023#0721 232 406,SCH04-S023,Lewis Kimani,SCH04,SCH04-FORM4SOUTH,Millicent Kimani,Grandfather,0721 232 406,+254721232406,Yes
GC#SCH04-S024#0112 312 180,SCH04-S024,Erick Mutua,SCH04,SCH04-FORM4SOUTH,Quinter Mutua,Uncle,0112 312 180,+254112312180,Yes
GC#SCH04-S024#0700 888 225,SCH04-S024,Erick Mutua,SCH04,SCH04-FORM4SOUTH,Ian Mutua,Uncle,0700 888 225,+254700888225,No
GC#SCH04-S025#0112 249 374,SCH04-S025,Felix Otieno,SCH04,SCH04-FORM4SOUTH,Linet Otieno,Grandmother,0112 249 374,+254112249374,Yes
GC#SCH04-S026#0722 810 953,SCH04-S026,Titus Jepkosgei,SCH04,SCH04-FORM4SOUTH,Erick Jepkosgei,Guardian,0722 810 953,+254722810953,Yes
GC#SCH04-S027#0723 988 728,SCH04-S027,Dennis Wekesa,SCH04,SCH04-FORM4SOUTH,Cynthia Wekesa,Grandmother,0723 988 728,+254723988728,Yes
GC#SCH04-S027#0733 971 439,SCH04-S027,Dennis Wekesa,SCH04,SCH04-FORM4SOUTH,Faith Wekesa,Guardian,0733 971 439,+254733971439,No
GC#SCH04-S028#0720 163 155,SCH04-S028,Daniel Akinyi,SCH04,SCH04-FORM4SOUTH,Erick Akinyi,Uncle,0720 163 155,+254720163155,Yes
GC#SCH04-S028#0711 391 730,SCH04-S028,Daniel Akinyi,SCH04,SCH04-FORM4SOUTH,Ursula Akinyi,Guardian,0711 391 730,+254711391730,No
GC#SCH04-S029#0111 345 599,SCH04-S029,Peter Kiprono,SCH04,SCH04-FORM4SOUTH,Gilbert Kiprono,Aunt,0111 345 599,+254111345599,Yes
GC#SCH04-S030#0711 096 829,SCH04-S030,Lewis Njeri,SCH04,SCH04-FORM4SOUTH,Kendi Njeri,Grandfather,0711 096 829,+254711096829,Yes
GC#SCH04-S030#0750 115 382,SCH04-S030,Lewis Njeri,SCH04,SCH04-FORM4SOUTH,Halima Njeri,Grandmother,0750 115 382,+254750115382,No
GC#SCH04-S031#0740 365 919,SCH04-S031,Elvis Adhiambo,SCH04,SCH04-FORM4SOUTH,Naomi Adhiambo,Grandmother,0740 365 919,+254740365919,Yes
