alert_id,school_id,school_name,student_id,student_name,guardian_name,relationship,phone_number_e164,alert_trigger_type,trigger_reason,sms_body,gateway_status,created_at
SMS#SCH03-S013#+254111381280,SCH03,"Girls Secondary School (SCH03, Girls)",SCH03-S013,Mercy Gathoni,Wycliffe Gathoni,Uncle,+254111381280,CHRONIC_ABSENCE,Chronic Absenteeism (62.5%),"CSG ATTENDANCE NOTICE: Dear Wycliffe Gathoni, student Mercy Gathoni (SCH03-S013) at Girls Secondary School (SCH03, Girls) has registered Chronic Absenteeism (62.5%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH03-S022#+254721775633,SCH03,"Girls Secondary School (SCH03, Girls)",SCH03-S022,Agnes Mutua,Emmanuel Mutua,Aunt,+254721775633,CONSECUTIVE_ABSENCE_STREAK,Consecutive Absences (3 days),"CSG ATTENDANCE NOTICE: Dear Emmanuel Mutua, student Agnes Mutua (SCH03-S022) at Girls Secondary School (SCH03, Girls) has registered Consecutive Absences (3 days). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH04-S003#+254790450382,SCH04,"Boys Secondary School (SCH04, Boys)",SCH04-S003,Dickson Achieng,Lydia Achieng,Uncle,+254790450382,CONSECUTIVE_ABSENCE_STREAK,Consecutive Absences (3 days),"CSG ATTENDANCE NOTICE: Dear Lydia Achieng, student Dickson Achieng (SCH04-S003) at Boys Secondary School (SCH04, Boys) has registered Consecutive Absences (3 days). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH04-S006#+254722027661,SCH04,"Boys Secondary School (SCH04, Boys)",SCH04-S006,Oscar Achieng,Khadija Achieng,Guardian,+254722027661,CHRONIC_ABSENCE,Chronic Absenteeism (64.6%),"CSG ATTENDANCE NOTICE: Dear Khadija Achieng, student Oscar Achieng (SCH04-S006) at Boys Secondary School (SCH04, Boys) has registered Chronic Absenteeism (64.6%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH04-S014#+254111729127,SCH04,"Boys Secondary School (SCH04, Boys)",SCH04-S014,Victor Kilonzo,Agnes Kilonzo,Uncle,+254111729127,CHRONIC_ABSENCE,Chronic Absenteeism (58.3%),"CSG ATTENDANCE NOTICE: Dear Agnes Kilonzo, student Victor Kilonzo (SCH04-S014) at Boys Secondary School (SCH04, Boys) has registered Chronic Absenteeism (58.3%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH05-S004#+254111457621,SCH05,"Boys Secondary School (SCH05, Boys)",SCH05-S004,Geoffrey Kiptoo,Fred Kiptoo,Uncle,+254111457621,CHRONIC_ABSENCE,Chronic Absenteeism (64.6%),"CSG ATTENDANCE NOTICE: Dear Fred Kiptoo, student Geoffrey Kiptoo (SCH05-S004) at Boys Secondary School (SCH05, Boys) has registered Chronic Absenteeism (64.6%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH05-S007#+254791405344,SCH05,"Boys Secondary School (SCH05, Boys)",SCH05-S007,Enock Kiprono,Diana Kiprono,Aunt,+254791405344,CHRONIC_ABSENCE,Chronic Absenteeism (64.6%),"CSG ATTENDANCE NOTICE: Dear Diana Kiprono, student Enock Kiprono (SCH05-S007) at Boys Secondary School (SCH05, Boys) has registered Chronic Absenteeism (64.6%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH05-S009#+254790044205,SCH05,"Boys Secondary School (SCH05, Boys)",SCH05-S009,Brian Wekesa,Peris Wekesa,Mother,+254790044205,CONSECUTIVE_ABSENCE_STREAK,Consecutive Absences (3 days),"CSG ATTENDANCE NOTICE: Dear Peris Wekesa, student Brian Wekesa (SCH05-S009) at Boys Secondary School (SCH05, Boys) has registered Consecutive Absences (3 days). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH05-S013#+254711085005,SCH05,"Boys Secondary School (SCH05, Boys)",SCH05-S013,Kelvin Ochieng,Ursula Ochieng,Guardian,+254711085005,CHRONIC_ABSENCE,Chronic Absenteeism (58.3%),"CSG ATTENDANCE NOTICE: Dear Ursula Ochieng, student Kelvin Ochieng (SCH05-S013) at Boys Secondary School (SCH05, Boys) has registered Chronic Absenteeism (58.3%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH05-S014#+254733823704,SCH05,"Boys Secondary School (SCH05, Boys)",SCH05-S014,Kibet Onyango,Samuel Onyango,Father,+254733823704,CHRONIC_ABSENCE,Chronic Absenteeism (68.8%),"CSG ATTENDANCE NOTICE: Dear Samuel Onyango, student Kibet Onyango (SCH05-S014) at Boys Secondary School (SCH05, Boys) has registered Chronic Absenteeism (68.8%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
